Campaign Shortname;Campaign Longname;Description;Description - DRAFT;NASA Earth Science Focus Areas;Scientific Objective Focus Phenomena;Region of Campaign Description;Campaign Spatial Bounds (N,S,E,W lat/lon);Season(s) of Study;Campaign Start Date (date of first deployment start);Campaign End Date (date of last deployment end);Number of Deployments;Significant Events;Funding Agency;NASA Funding Program;Responsible NASA Funding Program Lead;Responsible NASA Campaign or Project Lead;Data Manager/ Technical Contact (person or NID);Platform Types (limited fields tab);ADMG's Aircraft Shortames (Camp/Plat/Inst tab);Aircraft-based Instruments (consistent w/ C/D/P/I tab);Non-Aircraft Platform Types;Non-airborne Instruments;Total Flights;Campaign Geophysical Phenomena Studied (from GCMD variable list);Campaign Geophysical Phenomena UUID - internal 4 digit codes;Campaign DOI;Campaign Logo - Image Name;Campaign Logo - Image Location (URL);Campaign Logo - Image Owner (Should be NASA);Campaign Publication(s);Supported NASA Mission(s);Number of Published Data Products;Campaign Data Total Volume (Gb);Assigned Archive Repository (DAAC);Repository/Primary Website (DAAC homepage);Project/Secondary Website (not a DAAC);Other Campaign Resources;non-NASA-led campaign: NASA was a Significant Participant;Partner Organizations;Partner Website(s);Campaign is Ongoing (True or False);Campaign's GCMD Projects UUID;Campaign notes;Notes/ Notes to the Reviewer;Working;Metadata Collection Completion Date;Checked
WSFM;Western States Fire Mission;;Demonstrated emerging technologies related to real time disaster event monitoring using NASA developed sensor systems, data telemetry systems, improved real-time data analysis technologies, and utility of the new Ikhana UAS platform. These flights were part of the Wildfire Research and Applications Partnership (WRAP) project.;;;;;;;;1;;Applied Science Program-Disaster Applications focus area, and Airborne Science Program;;;;;;;;;;;;;;;;;;;;;Unpublished;;;N/A;;;N/A;;;;;;;
Arctic-COLORS;Arctic-COastal Land Ocean inteRactions;;see https://arctic-colors.gsfc.nasa.gov/docs/ArcticCOLORS_Science_Plan_draft_January2018.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAST;Coordinated Airborne Studies in the Tropics;;CAST was a collaborative initiative with NASA's Airborne Tropical Tropopause Experiment (ATTREX) program to study the Tropical Tropopause Layer (TTL) over the Pacific Ocean and Southeast Asia. CAST was a large multi-institutional project funded by the U.K. Natural Environment Research Council (NERC) and the Science and Technology Facilities Council (STFC). CAST was part of a joint deployment with the NASA Airborne Tropical Tropopause Experiment (ATTREX) Global Hawk, the NSF CONTRAST, Gulfstream V (GV), and the Facility for the Airborne Atmospheric Measurements (FAAM) research aircraft. Measurements from these campaigns provided an excellent characterization of the lower-tropospheric atmospheric composition in the tropical warm pool region, and an improvement in our understanding of marine halocarbon production.;Atmospheric Composition;;A.B. Won Pat International Airport, Guam,  Anderson Air Force Base, ARMS facility, Manus, NASA Dryden Flight Research Center, California;;;2/24/2015;3/11/2015;2;;"CAST: UK Natural Environmental Research Council (NERC) and the Science and Technology Facilities Council; 
ATTREX: NASA Earth System Science Pathfinder Program";;Ken Jucks, Bruce Tagg;Neil Harris, Eric Jensen;Centre for Environmental Data Analysis (British Atmospheric Data Centre);Aircraft;Global Hawk;AIITS, GHOST, GWAS, NWV, NOAA O3, MMS, MTP, Hawkeye;;;3;Temperature, Halocarbons, Greenhouse gas, Trace gas, Cloud properties;;;;;;;;;;Unpublished;"CAST: http://catalogue.ceda.ac.uk/?q=CAST&record_types=Observation;
Nav Data: https://asp-archive.arc.nasa.gov/; CAST/CAST-ATTREX 2015: ATTREX (Global Hawk) data from 2014-2015  https://espoarchive.nasa.gov/archive/browse/attrex/id7/GHawk";;"https://www.nasa.gov/centers/armstrong/news/NewsReleases/2015/15-03.html

https://airbornescience.nasa.gov/sites/default/files/documents/2015_Annual_AirborneScienceReport.pdf
http://www-cast.ch.cam.ac.uk/cast_attrex_2015.html
https://www.faam.ac.uk/index.php/faam-documents/campaigns/past-campaigns/cast/2177-cast-pre-detachment-briefing-logistics-v4/file
https://www.faam.ac.uk/index.php/current-future-campaigns/384-cast-2014-co-ordinated-airborne-studies-in-the-tropics
http://catalogue.ceda.ac.uk/uuid/565b6bb5a0535b438ad2fae4c852e1b3
https://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-14-00290.1
http://www-cast.ch.cam.ac.uk/cast_lead.html";;United Kingdom;https://drive.google.com/file/d/1E44xj0SZDSU5xRhX3zGS5tIkty-_b79s/view;;;;"Is this just the fifth deployment in ATTREX?
original entry had a bunch more aircraft and instruments which I cannot confirm. I left them in the comments";;;
PECAN;Plains Elevated Convection at Night;;The scientific goal of the project is to collect data before and during nighttime severe storms in order to learn how they form, why some become severe, and how to predict them better. Scientists hope to learn what triggers these storms, how the atmosphere supports their lifecycle, and how they impact lives, property, agriculture and the water budget in the region;Weather;;Southern Great Plains, Kansas;;;;;1;;"National Science Foundation, with additional support from NASA; NOAA; the National Center for Atmospheric Research in Boulder, Colorado; and the Department of Energy";;Tsengdar Lee;Bart Geerts, Tammy Weckwerth, David Parsons, Conrad Ziegler, David Turner, Richard Ferrare;Scott Loehrer;Aircraft, ground-based platforms;Wyoming King Air, DC-8, P-3, Mobile Scanning Doppler Radars, Balloons, Mesonet Vehicles, CLAMPS, PECAN PISA;NAST-I, RainCube, MASC, ARMASLASE ,Microphysics Data: Precipitation Imaging Probe (PIP), Cloud Imaging Probe (CIP), Cloud Droplet Probe (DCP), Cloud and Aerosol Spectrometer (CAS), Cloud Combination Probe (CCP), and Particle by Particle (PBP) module, Lower FuselageC-band and Tail X-band radars ,Compact Raman Lidar (CRL): Water Vapor, Temperature, & Aerosol Profiles, Cloud Lidar;;;;Meteorology, Aerosols, Cloud Properties,;;;;;;;;;;Unpublished;http://data.eol.ucar.edu/master_list/?project=PECAN;;"https://espo.nasa.gov/sites/default/files/science_report/SITREP%20%236%20DC-8%20PECAN.pdf
https://science.gsfc.nasa.gov/sed/content/uploadFiles/scihi_atmos_ppt/2016_5_highlights.pdf
https://www.eol.ucar.edu/projects/pecan/documents/PECAN_EDO_2013.pdf
http://catalog.eol.ucar.edu/pecan
https://www.nssl.noaa.gov/projects/pecan/team/
https://www.eol.ucar.edu/content/pecan-nutshell";;;https://drive.google.com/file/d/1EReyzUMPj1wsPpJG49VzLE5AQwXXTypI/view;;;;;;;
PICARD;Pushbroom Imager for Cloud and Aerosol Research and Development;;PICARD is a Short-Wave Infrared (V/SWIR) imaging spectrometer designed to support atmospheric research, more specifically cloud microphysics research and aerosols science. The instrument is designed to simulate existing satellite products and comparing measurements with satellite imagery from the Moderate Resolution Imaging Spectroradiometer (MODIS) and Visible Infrared Imaging Radiometer Suite (VIIRS) instruments. PICARD sought to validate radiance and geophysical retrievals with an emphasis on cloud and aerosol science, while operating in conjunction with enhanced the MODIS Airborne Simulator (eMAS).;N/A;;Palmdale, CA;;;;;1;;N/A;;N/A;Steve Platnick;N/A;Aircraft;ER-2;Pushbroom Imager for Cloud and Aerosol Research and Development (PICARD), MODIS Airborne Simulator (eMAS);;;;Imagery;;;;;;;;;;Unpublished;Nav data: https://asp-archive.arc.nasa.gov/PICARD/N806NA/;;"https://airbornescience.nasa.gov/instrument/PICARD
https://asapdata.arc.nasa.gov/sensors/picard.html
https://airbornescience.nasa.gov/content/PICARD_Engineering_Flights?date_instance=20150413
https://espo.nasa.gov/sites/.../ORACLES_P3_ER2_instrument_summaries_all_V5.xlsx";;;https://drive.google.com/file/d/1unldznxJKBkvWKtdsNyAr3AFtgn9b_CR/view;;;;;;;
PV;Photovoltaics;;The PV mission sought to collect photovoltaic (PV) cell data through test flights on the high-altitude ER-2 aircraft, in order to test the performance of PV cells in a near-space environment. The Photovoltaics Lab at NASA's Glenn Research Center designs and fabricates different types of cells, and calibrates and extensively tests them to discover innovative ways of implementing cells for use on current and future NASA missions;N/A;;Palmdale, CA;;;;;4;;NASA Glenn Research Center;;Michael Piszczor;Matthew Myers, Nathaniel Livesey;N/A;Aircraft;ER-2;Solar Cell, ARMAS Lite, A-SMLS;;;;Meteorology, Radiation;;;;;;;;;;Unpublished;NAV data on https://asp-archive.arc.nasa.gov/;;"https://airbornescience.nasa.gov/flight_reports/ER-2_806_05_12_17
https://airbornescience.nasa.gov/flight_reports/ER-2_806_07_22_15
https://earthscience.arc.nasa.gov/flight_reports/ER-2_806_07_16_15
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7355844&tag=1";;;https://drive.google.com/file/d/1EJHxuUlLx3EI4sANX6COGL_J2JFZg-Gx/view;;;;;;;
TOLNET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AirMISR BARC 2001;Airborne Multi-Angle Imaging Spectroradiometer BARC;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Beltsville, MD;39.31, 38.73, -76.46, -77.21;boreal summer;7/21/2001;7/21/2001;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;1;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000701-LARC_ASDC;;"https://eosweb.larc.nasa.gov/project/airmisr/airmisr_barc_table
https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table
https://eosweb.larc.nasa.gov/sites/default/files/project/airmisr/readme/AirMISR_DPS_F01.pdf
https://misr.jpl.nasa.gov/Mission/airMISR";;;N/A;;;;;;;
AirMISR Bartlett 2003;Airborne Multi-Angle Imaging Spectroradiometer Bartlett;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Bartlett Forest, NH;44.28, 43.80, -70.92, -71.60;boreal summer;8/24/2003;8/24/2003;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;1;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000720-LARC_ASDC&m=0!0.140625!2!1!0!0%2C2;;https://eosweb.larc.nasa.gov/project/airmisr/airmisr_bartlett_table;;;N/A;;;;;;;
AirMISR CLAMS 2001;Airborne Multi-Angle Imaging Spectroradiometer - Chesapeake Lighthouse and Aircraft Measurements for Satellites;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Chesapeake Lighthouse;39.99, 35.64, -74.01, -78.82;boreal summer;7/12/2001;8/2/2001;2;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000702-LARC_ASDC;;https://eosweb.larc.nasa.gov/project/airmisr/airmisr_clams_table, https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table, https://eosweb.larc.nasa.gov/project/clams/clams_table;;;N/A;;;;why does this deserve its own entry? isn't it just a part of the CLAMS campaign?;;;
AirMISR Harvard 2003;Airborne Multi-Angle Imaging Spectroradiometer Harvard;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Harvard Forest, MA;42.78, 42.28, -71.81, -72.45;boreal summer;8/24/2003;8/24/2003;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000721-LARC_ASDC;;https://eosweb.larc.nasa.gov/project/airmisr/airmisr_harvard_table, https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table;;;N/A;;;;;;;
AirMISR Howland 2003;Airborne Multi-Angle Imaging Spectroradiometer Howland;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Howland Forest, ME;45.43, 45.01, -68.35, -68.98;boreal summer;8/28/2003;8/28/2003;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000703-LARC_ASDC;;https://eosweb.larc.nasa.gov/project/airmisr/airmisr_howland_table, https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table;;;N/A;;;;;;;
AirMISR KONVEX;Airborne Multi-Angle Imaging Spectroradiometer - Konza Validation Experiment;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Kansas Prairie;39.3, 38.8, -96.2, -96.9;boreal summer;7/13/1999;7/13/1999;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000722-LARC_ASDC;;https://misr.jpl.nasa.gov/Mission/valwork/val_reports/konza99/990713_konza_summary.html, https://eosweb.larc.nasa.gov/project/airmisr/airmisr_konvex_table, https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table;;;N/A;;;;found a detailed summary report that causes me to consider listing a few additional instruments: https://misr.jpl.nasa.gov/Mission/valwork/val_reports/konza99/990713_konza_summary.html;;;
AirMISR Lunar Lake 2000;Airborne Multi-Angle Imaging Spectroradiometer Lunar Lake 2000;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Lunar Lake, NV;38.73, 37.76, -115.26, -116.32;boreal summer;6/11/2000;6/11/2000;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000723-LARC_ASDC;;https://eosweb.larc.nasa.gov/project/airmisr/airmisr_lunar_lake_2000_table, https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table;;;N/A;;;;Abdou, W.A. et al. “Vicarious Calibration Experiment in Support of the Multi-Angle Imaging SpectroRadiometer.” IEEE Transactions on Geoscience and Remote Sensing 40.7 (2002): 1500–1511. Crossref. Web.;;;
AirMISR Lunar Lake 2001;Airborne Multi-Angle Imaging Spectroradiometer Lunar Lake 2001;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Lunar Lake, NV;38.74, 38.13, -115.36, -116.32;boreal summer;6/30/2001;6/30/2001;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000704-LARC_ASDC;;https://eosweb.larc.nasa.gov/project/airmisr/airmisr_lunar_lake_2001_table, https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table;;;N/A;;;;;;;
AirMISR Monterey 1999;Airborne Multi-Angle Imaging Spectroradiometer Monterey;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Monterey, CA;37.4, 35.1, -120.9, -123.3;boreal summer;6/29/1999;6/29/1999;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000724-LARC_ASDC;;https://eosweb.larc.nasa.gov/project/airmisr/airmisr_monterey_table, https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table;;;N/A;;;;https://www.researchgate.net/figure/Map-of-the-AirMISR-Monterey-Bay-field-site-for-June-29-1999-Approximate-flight-lines_fig1_2525929;;;
AirMISR Morgan Monroe 2003;Airborne Multi-Angle Imaging Spectroradiometer Morgan Monroe;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Morgan Monroe State Forest, IN;39.60, 39.05, -86.03, -89.60;boreal summer;8/19/2003;8/19/2003;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000725-LARC_ASDC;;https://eosweb.larc.nasa.gov/project/airmisr/airmisr_morgan_monroe_table, https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table;;;N/A;;;;;;;
AirMISR Rogers Lake 2001;Airborne Multi-Angle Imaging Spectroradiometer Rogers Lake;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Rogers Lake, CA;35.33, 34.75, -117.51, -118.06;boreal summer;6/6/2001;6/6/2001;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000705-LARC_ASDC;;https://eosweb.larc.nasa.gov/project/airmisr/airmisr_rogers_lake_table, https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table;;;N/A;;;;;;;
AirMISR SAFARI 2000;Airborne Multi-Angle Imaging Spectroradiometer SAFARI;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Southern Africa;-15.18, -24.69, 31.49, 9.08;dry;9/6/2000;9/14/2000;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;4;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000726-LARC_ASDC;;https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table, https://eosweb.larc.nasa.gov/sites/default/files/project/airmisr/quality_summaries/airmisr_safari.pdf, https://daac.ornl.gov/S2K/historical_UVA_edited/pdfs/s2kdscpm.pdf, https://daac.ornl.gov/S2K/historical_UVA_edited/NASAmeeting/Conel_MISR.pdf, https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2000JD900654;;;N/A;;;;several detailed papers in the website links;;;
AirMISR SERC 2003;Airborne Multi-Angle Imaging Spectroradiometer SERC;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Smithsonian Environmental Research Center, MD;39.06, 38.60, -76.28, -76.85;boreal summer;8/20/2003;8/20/2003;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000727-LARC_ASDC;;https://eosweb.larc.nasa.gov/project/airmisr/airmisr_serc_table, https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table;;;N/A;;;;;;;
AirMISR SNOW ICE 2001;Airborne Multi-Angle Imaging Spectroradiometer Snow Ice;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Yampa Valley, CO;41, 36, -107, -114;boreal spring;3/8/2001;3/8/2001;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000728-LARC_ASDC;;https://eosweb.larc.nasa.gov/project/airmisr/airmisr_snow_ice_table, https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table;;;N/A;;;;;;;
AirMISR Wisconsin 2000;Airborne Multi-Angle Imaging Spectroradiometer Wisconsin;;Specific Flight mission to collect multi angle imagery similar to satellite-borne MISR instrument. Designed to study the Earth's ecology and climate.;Carbon Cycle & Ecosystems, Climate Variability & Change;;Wisconsin;43.79, 35.92, -90.23, -97.94;boreal spring;3/3/2000;3/3/2003;1;;;;;David Diner;Earl Hansen;Aircraft;ER-2 - AFRC;AirMISR;;;;;;;;;;;;;;ASDC;https://search.earthdata.nasa.gov/search/granules?p=C1000000729-LARC_ASDC;;https://eosweb.larc.nasa.gov/project/airmisr/airmisr_wisconsin_table, https://eosweb.larc.nasa.gov/project/airmisr/airmisr_table;;;N/A;;;;;;;
CARVE-CAL;Carbon Arctic Reservoir Vulnerability Experiment - California;;Didn't find very much. JPL has 8 data products they say are associated with CARVE-CAL, but the links to download them are broken;Atmospheric Composition, Carbon Cycle & Ecosystems, Climate Variability & Change (as well as the Air Quality and Ecosystems elements of the Applied Sciences program);;California;;;;;;;;;;;;Aircraft;C-23 Sherpa - WFF;Picarro G1301-c, PALS, FTS, DADS;;;;;;;;;;;;;;Unpublished;;;;;;;;;;"Having a hard time finding info on these subcampaigns. https://airbornescience.jpl.nasa.gov/data?ids=Campaign&values=Carbon+in+Arctic+Reservoirs+Vulnerability+Experiment+-+Canada+(CARVE-CAN)&search=#. Based on this data pull, it looks like they used the same aircraft and instruments 
https://airbornescience.jpl.nasa.gov/data?ids=Parameter%3ACampaign%3APlatform%3AProductType&values=Track%3ACarbon+in+Arctic+Reservoirs+Vulnerability+Experiment+-+California+(CARVE-CAL)%3AC-23+Sherpa%3ADADS_L1&search=CARVE-CAN";;;
CARVE-CAN;Carbon Arctic Reservoir Vulnerability Experiment - Canada;;Proposal by Charles Miller requests using the C-23 and its payload to fly over Canada a few times during the 2014 and 2015 deployments. CARVE-CAN is also mentioned in the ASP 2016 Annual Report. ASP also has flight reports about flights tagged with CARVE-CAN, but they have the same log number as CARVE;Atmospheric Composition, Carbon Cycle & Ecosystems, Climate Variability & Change (as well as the Air Quality and Ecosystems elements of the Applied Sciences program);;Canada;;;;;;;;;;;;Aircraft;C-23 Sherpa - WFF;Picarro G1301-c, PALS, FTS, DADS;;;;;;;;;;;;;;Unpublished;;;;;;;;;;https://airbornescience.nasa.gov/sites/default/files/documents/ASP_2016_Annual_Report.pdf , https://airbornescience.nasa.gov/flight_reports/C-23_Sherpa_07_11_14_1 , https://airbornescience.nasa.gov/flight_reports/C-23_Sherpa_08_08_15 , https://www.nies.go.jp/soc/events/iwggms12/pdf/post/Poster_26_Thomas_Kurosu.pdf , https://above.nasa.gov/cgi-bin/inv_pgp.pl?projType=project&progID=6&projID=567;;;
OIB;see Icebridge entry. OIB = Operation IceBridge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NSIDC DAAC;;;;;;;;;;;;;
AMSR-E Wakasa Bay;AMSR/AMSR-E Wakasa Bay Field Campaign 2003;;The campaign was designed to validate both AMSR and AMSR-E shallow rainfall and snowfall retrieval capabilities, extend the database of rainfall properties needed to implement a comprehensive physical validation scheme, and extend understanding of rainfall structures through new remote sensing technology.;Global Water & Energy Cycle, Weather;;Wasaka Bay, Japan;43, 30, 151, 130;boreal winter;1/19/2003;2/3/2003;1;;;;Ramesh Kakar;;Kara Gergely;Aircraft, Ground-based Platforms;P-3B - WFF;MIR, AMMR, ACR, APR-2, PSR-A;Ground based platforms;;12;;;;;;;"Lobl, et al. 2007. Wakasa Bay: An AMSR Precipitation Validation Campaign. Bulletin of the American Meteorological Society
DOI: 10.1175/BAMS-88-4-551";;;;NSIDC DAAC;http://nsidc.org/data/nsidc-0267;;"https://nsidc.org/data/amsr_validation/rainfall/wakasa_bay/index.html
https://doi.org/10.1175/BAMS-88-4-551";;JAXA;http://global.jaxa.jp/;;;;;;;
AMSRIce06;AMSRIce06;;The AMSRIce06 campaign, headed by Don Cavalieri, was conducted over a one-week period in March 2006. Joint ground and aircraft measurements of snow and sea ice were taken over the Chukchi and Beaufort Seas of the Arctic Ocean. The objectives of the experiment were to compare field, airborne, and other satellite data in order to validate and improve existing snow depth on sea ice retrieval algorithms for the AMSR-E instrument. This campaign is technically phase 1 of the Arctic 2006 mission.;;;Chukchi and Beaufort Seas;74, 65, -153, -167;boreal spring;3/18/2006;3/25/2006;1;;;;;Don Cavalieri, Thorsten Markus;Kara Gergely;Aircraft;P-3B - WFF;"- A microwave radiometer (A. Gasiewski, U. Colorado) with frequencies similar to AMSR-E 
- A snow radar (S.P. Gogineni, U. Kansas), which can directly measure the snow depth on sea ice 
- A radar altimeter (C. Leuschen, JHU APL), which measures the height of the sea ice 
- A laser altimeter (W. Krabill, GSFC Wallops), which measures the height of the snow.";;;6;;;;;;;;;;;NSIDC DAAC;http://nsidc.org/data/amsr_validation/cryosphere/amsrice06/index.html;;https://polynya.gsfc.nasa.gov/seaice_arctic2006.html;;;N/A;;;;;;;
ATOST;Atlantic-Thorpex Observing System Test;;Atlantic - THORpex Observing System Test (ATOST) is part of an international research program to accelerate improvements in the accuracy of 1 to 14 day weather forecasts. A number of additional air, ground, and water observation platforms are selected daily from forecast flow patterns. The ATOST campaign is the first to attempt real-time adaptive control over several platforms at short notice.;Weather;;Bangor, Maine;;boreal fall;11/6/2003;12/17/2003;1;;;;;;;Aircraft;ER-2 - AFRC;MAS;;;;;;;;;;;;;;ASDC;;;https://eosweb.larc.nasa.gov/project/atost/atost_table;;;N/A;;fc324e61-d5fd-4fa9-9bab-54777307a607;;I think THORpex is the larger, 10 year program of which atlantic thorpex is but a part: https://eosweb.larc.nasa.gov/project/thorpex/thorpex_table;SB;;
